name,price
Vitta Foods,235
Kits,252
Betty Crocker,460
Lavazza,488
Papadopoulos,170
Soprole,237
Secret Recipe,120
Wendy's,300
Pizza Hut,250
Lavazza,143
McDonald's,499
Magnum,242
Lavazza,234
Nesquik,371
Red Lobster,207
Nabisco,422
Olymel,295
Carib Brewery,215
Red Lobster,302
Doritos,81
Nesquik,131
Soprole,421
Nesquik,70
Lavazza,326
Kits,375
Wonder Bread,165
Cheetos,453
Dr. Oetker,483
LEonidas,331
Nesquik,208
Heinz,332
Betty Crocker,123
Kinder,450
Nabisco,396
Kits,336
Cobblestone,414
Bewley's,179
Carib Brewery,194
Subway,50
Secret Recipe,184
Kits,276
Dunkin' Donuts,269
KFC,491
Lavazza,179
Pizza Hut,107
Heinz,316
Domino,204
Subway,271
Burger King,299
Heinz,150
Magnum,307
Taco Bell,244
Pizza Hut,315
McDonald's,137
Magnum,429
Doritos,312
Secret Recipe,411
Subway,179
Applebee's,174
Red Lobster,72
Taco Bell,475
Pizza Hut,471
Knorr,385
Lavazza,232
Wendy's,317
Nutella,376
Red Lobster,90
Cheetos,272
Vitta Foods,145
Nesquik,211
Cheetos,118
Cheetos,292
Domino,140
Subway,344
Kits,494
McDonald's,113
Cobblestone,385
Andy Capp's fries,440
Olymel,326
LEonidas,337
Nabisco,95
Olymel,146
KFC,480
Pizza Hut,150
Cobblestone,406
Cobblestone,396
Olymel,434
LEonidas,226
Cheetos,432
McDonald's,343
Cheetos,363
Lavazza,60
Carib Brewery,392
Pizza Hut,257
Wonder Bread,328
Secret Recipe,201
Sun-Pat,258
Nesquik,217
Vitta Foods,169
M&M Food Market,269
Magnum,76
Cobblestone,169
Dunkin' Donuts,383
Vitta Foods,268
Dr. Oetker,178
Wonder Bread,200
Baskin robbins,467
Olymel,294
Bewley's,122
Baskin robbins,130
LEonidas,461
Magnum,364
Cheetos,498
Baskin robbins,370
Bewley's,142
Burger King,140
Bel Group,51
Magnum,232
Lavazza,87
Pizza Hut,205
Heinz,455
Secret Recipe,106
Red Lobster,489
Red Lobster,367
Subway,309
Sun-Pat,413
Baskin robbins,239
Nutella,459
Bel Group,337
Heinz,345
M&M Food Market,164
Bewley's,483
Tic Tac,139
Carib Brewery,104
Nesquik,396
Olymel,351
Heinz,402
Pizza Hut,351
Sun-Pat,358
Cheetos,276
Heinz,243
Burger King,122
M&M Food Market,326
Kits,423
Carib Brewery,463
Dr. Oetker,374
Secret Recipe,370
Bewley's,292
Dr. Oetker,198
Bel Group,57
Starbucks,91
M&M Food Market,283
Wonder Bread,476
Wendy's,209
Kinder,162
Subway,302
Dr. Oetker,175
Tic Tac,127
Knorr,315
Pizza Hut,161
Baskin robbins,163
Kinder,130
Sun-Pat,258
Pizza Hut,85
Kinder,431
Papadopoulos,181
Burger King,259
Sun-Pat,361
Magnum,458
Betty Crocker,338
M&M Food Market,370
Heinz,425
Sun-Pat,319
LEonidas,58
Knorr,305
Soprole,303
Vitta Foods,56
Starbucks,338
Kits,242
Nutella,467
LEonidas,472
Secret Recipe,135
Bewley's,497
Baskin robbins,360
Andy Capp's fries,130
Lavazza,465
Magnum,380
Dunkin' Donuts,239
Domino,141
Taco Bell,55
Starbucks,208
Nabisco,262
Baskin robbins,479
Cobblestone,233
LEonidas,486
Dunkin' Donuts,227
Applebee's,428
Kits,345
Wonder Bread,322
Nesquik,337
Domino,444
Lavazza,347
Red Lobster,402
Bewley's,149
Lavazza,258
Olymel,433
Starbucks,453
Kinder,149
Doritos,428
Kits,400
Dunkin' Donuts,378
Nesquik,365
Taco Bell,480
Nutella,490
Andy Capp's fries,496
Wendy's,434
Nesquik,458
Taco Bell,59
Wendy's,308
Bel Group,209
Red Lobster,102
Kinder,103
Heinz,403
Papadopoulos,96
Magnum,429
Vitta Foods,301
Taco Bell,196
Applebee's,379
Betty Crocker,341
Nesquik,167
Tic Tac,393
Taco Bell,217
Domino,197
Bewley's,488
Lavazza,54
Red Lobster,107
M&M Food Market,362
LEonidas,292
Doritos,495
Nutella,389
Domino,419
Dr. Oetker,421
Kinder,258
Secret Recipe,398
Nutella,418
Bel Group,209
Domino,496
McDonald's,251
LEonidas,351
Andy Capp's fries,256
Kinder,292
Betty Crocker,410
Sun-Pat,421
Vitta Foods,436
Betty Crocker,249
Kinder,399
Bewley's,214
Magnum,67
M&M Food Market,375
Cobblestone,489
Kinder,490
Kits,286
Bewley's,438
Andy Capp's fries,317
Red Lobster,103
Vitta Foods,56
Secret Recipe,254
Soprole,457
Kits,215
Red Lobster,145
McDonald's,247
Wendy's,266
Betty Crocker,264
Sun-Pat,90
Olymel,254
Knorr,428
Cobblestone,366
Burger King,75
McDonald's,155
Kinder,392
Dr. Oetker,220
Dunkin' Donuts,338
Cheetos,64
Cheetos,176
Dunkin' Donuts,460
Applebee's,152
Papadopoulos,104
Cheetos,315
Vitta Foods,305
Bewley's,175
Bel Group,311
Burger King,385
Bel Group,108
Andy Capp's fries,324
Kinder,349
Burger King,423
Cobblestone,247
Kits,101
Heinz,218
Wendy's,383
Wendy's,202
Domino,167
Cheetos,331
Cobblestone,146
Red Lobster,427
Carib Brewery,465
Cheetos,394
Papadopoulos,307
Vitta Foods,460
Pizza Hut,202
Lavazza,435
Bel Group,490
McDonald's,116
Nutella,87
Kits,217
Magnum,314
Taco Bell,54
Subway,457
Baskin robbins,120
Subway,337
Magnum,258
Wonder Bread,133
LEonidas,272
Lavazza,300
Nutella,268
Dr. Oetker,440
Applebee's,352
Pizza Hut,119
Carib Brewery,260
Betty Crocker,198
Soprole,156
Dr. Oetker,430
Kinder,276
Pizza Hut,262
McDonald's,325
Burger King,410
Dunkin' Donuts,381
Papadopoulos,450
Cheetos,82
Wonder Bread,51
Heinz,207
Dr. Oetker,310
Red Lobster,473
M&M Food Market,447
Sun-Pat,101
Magnum,350
Wonder Bread,472
Nutella,308
Secret Recipe,295
Dr. Oetker,80
Baskin robbins,443
Kits,189
Kinder,208
Nabisco,167
Baskin robbins,274
Doritos,53
Kits,393
Papadopoulos,216
Carib Brewery,306
Sun-Pat,90
Nutella,267
Knorr,221
Heinz,396
Wonder Bread,366
Magnum,478
LEonidas,464
Nutella,202
Tic Tac,466
Subway,432
Papadopoulos,438
Soprole,197
Bewley's,105
Burger King,417
M&M Food Market,333
Wonder Bread,297
McDonald's,383
Nutella,79
Dr. Oetker,339
Kinder,354
Papadopoulos,174
KFC,284
Domino,135
Nutella,395
Carib Brewery,374
Starbucks,321
Carib Brewery,151
Kinder,394
Pizza Hut,313
Bewley's,377
Vitta Foods,486
Dr. Oetker,401
Secret Recipe,170
Domino,426
Wendy's,433
Olymel,155
Starbucks,326
Cobblestone,165
Nutella,137
Starbucks,297
Red Lobster,346
Soprole,449
Bewley's,413
Cheetos,173
Doritos,117
Doritos,305
Starbucks,183
Soprole,299
Nesquik,123
Nabisco,129
Bewley's,87
Betty Crocker,157
Papadopoulos,343
Doritos,259
Starbucks,402
Knorr,131
Doritos,137
Papadopoulos,183
Bel Group,173
Kinder,268
Heinz,130
Baskin robbins,435
Dr. Oetker,327
Cobblestone,321
Starbucks,397
Baskin robbins,391
Vitta Foods,369
Magnum,104
Starbucks,269
Lavazza,90
Nesquik,52
Pizza Hut,464
Secret Recipe,278
Tic Tac,367
Betty Crocker,241
Secret Recipe,427
Baskin robbins,384
Pizza Hut,301
KFC,458
Carib Brewery,463
Cobblestone,94
LEonidas,107
Dunkin' Donuts,89
Red Lobster,496
Pizza Hut,231
Wonder Bread,390
Nutella,475
Pizza Hut,406
Heinz,145
Taco Bell,344
Bewley's,332
Magnum,259
Domino,185
Sun-Pat,150
Cobblestone,164
Dr. Oetker,495
Wonder Bread,245
Betty Crocker,53
Burger King,161
Subway,147
Secret Recipe,444
Cobblestone,217
Kinder,298
Nutella,130
Lavazza,312
Bewley's,382
Lavazza,239
Dr. Oetker,360
Subway,98
Andy Capp's fries,202
Domino,496
Andy Capp's fries,106
Nabisco,234
Lavazza,270
Olymel,217
Lavazza,299
KFC,201
Lavazza,442
Secret Recipe,256
Burger King,458
Pizza Hut,253
Tic Tac,386
McDonald's,244
Dunkin' Donuts,495
Bel Group,87
Bewley's,195
LEonidas,472
Betty Crocker,185
Red Lobster,140
Baskin robbins,326
Red Lobster,242
Wendy's,495
Nabisco,140
Magnum,57
Kits,184
Pizza Hut,415
Andy Capp's fries,391
Vitta Foods,51
Baskin robbins,460
Sun-Pat,410
Betty Crocker,209
Nabisco,91
Dunkin' Donuts,67
Vitta Foods,496
LEonidas,77
Dunkin' Donuts,96
Cobblestone,420
Doritos,480
Domino,441
Papadopoulos,184
Sun-Pat,328
KFC,484
Doritos,466
Dunkin' Donuts,420
Applebee's,390
Dr. Oetker,186
LEonidas,201
Knorr,433
Red Lobster,461
Lavazza,132
Nabisco,416
Domino,498
Dunkin' Donuts,177
McDonald's,430
Kits,499
Taco Bell,168
Pizza Hut,197
Olymel,121
Burger King,167
Wonder Bread,369
Pizza Hut,117
Wendy's,419
Starbucks,207
Papadopoulos,493
Applebee's,431
Bewley's,290
Papadopoulos,203
Kits,414
Olymel,470
Cobblestone,234
Burger King,412
Betty Crocker,494
Red Lobster,457
Nutella,161
Dr. Oetker,356
Burger King,473
Papadopoulos,340
Heinz,84
Magnum,328
Nesquik,181
Betty Crocker,278
Tic Tac,144
Nabisco,59
Bewley's,70
Bel Group,215
Applebee's,269
KFC,493
Subway,310
Pizza Hut,59
Sun-Pat,494
Burger King,176
Magnum,186
Burger King,416
Wendy's,440
Taco Bell,497
Wendy's,301
Knorr,63
Dunkin' Donuts,466
KFC,300
Bewley's,131
Dr. Oetker,441
Applebee's,405
Doritos,474
Wendy's,289
Pizza Hut,147
Doritos,403
Wendy's,102
Tic Tac,263
Andy Capp's fries,301
Heinz,242
Wendy's,446
McDonald's,167
Lavazza,239
Dunkin' Donuts,459
Cobblestone,207
Dunkin' Donuts,423
Subway,246
Magnum,304
Subway,66
M&M Food Market,262
Magnum,268
McDonald's,197
Secret Recipe,147
Taco Bell,371
Olymel,130
Bel Group,223
Betty Crocker,192
Olymel,174
Pizza Hut,378
Burger King,176
Subway,91
Red Lobster,58
LEonidas,437
McDonald's,303
Subway,181
Olymel,340
Vitta Foods,193
Sun-Pat,283
Pizza Hut,128
Vitta Foods,116
Tic Tac,473
Bewley's,117
Nesquik,163
Kits,481
Bel Group,298
Red Lobster,301
Sun-Pat,193
Olymel,373
Subway,265
Bewley's,249
Doritos,497
Burger King,446
Applebee's,320
Burger King,249
Doritos,346
Starbucks,136
Betty Crocker,175
Burger King,206
Lavazza,72
Nutella,198
Heinz,297
Secret Recipe,381
Carib Brewery,332
Kinder,337
Baskin robbins,452
Nabisco,457
Burger King,280
Domino,439
Papadopoulos,435
Dr. Oetker,277
Magnum,330
Bel Group,321
Dunkin' Donuts,52
Heinz,199
Starbucks,426
Lavazza,155
LEonidas,237
Dunkin' Donuts,120
Doritos,360
Heinz,215
LEonidas,405
Secret Recipe,412
Burger King,495
Betty Crocker,167
Knorr,299
Knorr,273
Starbucks,234
McDonald's,126
Subway,364
Carib Brewery,89
Knorr,365
Bewley's,184
Papadopoulos,50
Lavazza,55
Tic Tac,177
Olymel,421
Kits,405
KFC,65
Secret Recipe,253
Olymel,350
Nabisco,284
McDonald's,205
Wendy's,440
Cobblestone,119
Nutella,265
Tic Tac,496
Sun-Pat,365
Papadopoulos,439
Kits,54
Subway,239
Dunkin' Donuts,388
Wonder Bread,299
Pizza Hut,52
Burger King,96
Cheetos,261
Knorr,427
Papadopoulos,234
Knorr,194
Red Lobster,226
Subway,348
Andy Capp's fries,134
Nesquik,222
Burger King,131
Red Lobster,216
Bel Group,83
Applebee's,188
Olymel,391
Wendy's,270
Baskin robbins,473
Vitta Foods,499
Domino,156
Andy Capp's fries,248
Sun-Pat,61
Cheetos,140
Tic Tac,140
Dunkin' Donuts,346
Soprole,325
Betty Crocker,256
Dunkin' Donuts,56
Baskin robbins,139
Heinz,76
Knorr,228
Cheetos,295
Andy Capp's fries,392
Pizza Hut,209
Red Lobster,169
Burger King,181
Nabisco,241
McDonald's,347
Betty Crocker,227
Soprole,54
Papadopoulos,79
Burger King,196
M&M Food Market,303
Applebee's,302
Knorr,99
Magnum,394
Red Lobster,221
Wonder Bread,178
Vitta Foods,86
Lavazza,370
Magnum,275
Wendy's,227
Nabisco,241
Pizza Hut,200
Vitta Foods,495
Bel Group,383
McDonald's,402
Taco Bell,397
Applebee's,121
Vitta Foods,94
Betty Crocker,422
Papadopoulos,90
Domino,347
Carib Brewery,429
Kinder,148
Doritos,353
Kinder,498
Red Lobster,55
Kits,59
Carib Brewery,123
Olymel,349
M&M Food Market,431
Knorr,79
Subway,240
Knorr,332
Secret Recipe,408
Baskin robbins,167
KFC,493
Applebee's,461
KFC,307
Cobblestone,295
Secret Recipe,380
Subway,312
Soprole,272
M&M Food Market,289
Soprole,482
Kits,406
Nutella,94
Nabisco,350
Nabisco,226
Pizza Hut,348
Wendy's,229
Nutella,459
Taco Bell,396
Kinder,145
Kinder,116
Carib Brewery,285
Magnum,332
Lavazza,442
LEonidas,170
Lavazza,400
Knorr,186
Nutella,204
Bewley's,200
Cobblestone,432
Betty Crocker,193
Andy Capp's fries,294
Olymel,355
Taco Bell,458
Magnum,219
Kinder,471
Domino,217
McDonald's,302
Tic Tac,293
Vitta Foods,183
Bewley's,207
Nesquik,485
Kinder,322
Magnum,367
Cheetos,307
Olymel,146
Burger King,139
Domino,369
Cheetos,294
Cobblestone,115
Carib Brewery,252
Kits,134
Nabisco,240
Cobblestone,259
Heinz,210
Cheetos,136
Lavazza,68
Nesquik,235
Red Lobster,368
McDonald's,310
Knorr,425
Burger King,160
Red Lobster,418
McDonald's,162
Nutella,408
Carib Brewery,198
Red Lobster,421
Red Lobster,180
Secret Recipe,461
Bewley's,324
Subway,212
Nutella,106
Nesquik,493
Knorr,226
Carib Brewery,67
McDonald's,393
Kinder,391
Subway,165
Kinder,412
Applebee's,237
Nutella,87
Taco Bell,50
Subway,112
Applebee's,292
Knorr,418
Nesquik,184
Vitta Foods,455
Secret Recipe,271
Nutella,185
Baskin robbins,146
Vitta Foods,99
Dr. Oetker,447
Secret Recipe,196
Secret Recipe,250
Papadopoulos,477
Bel Group,271
KFC,193
Doritos,136
Magnum,457
Tic Tac,484
Applebee's,189
Taco Bell,171
Nutella,137
Heinz,109
Domino,409
Cobblestone,375
Andy Capp's fries,397
Domino,413
Nutella,346
Doritos,474
Knorr,295
Wendy's,447
Taco Bell,328
Pizza Hut,345
Red Lobster,100
Andy Capp's fries,59
Domino,129
Red Lobster,346
Taco Bell,450
Vitta Foods,98
Papadopoulos,124
Applebee's,380
Sun-Pat,293
Knorr,119
Tic Tac,447
Subway,122
Red Lobster,460
Baskin robbins,252
Secret Recipe,353
Soprole,187
Magnum,110
Nutella,203
Baskin robbins,189
Subway,268
Taco Bell,404
Bel Group,64
Doritos,316
Wonder Bread,353
Taco Bell,172
Bel Group,55
Heinz,148
Heinz,196
Knorr,281
Magnum,289
Kits,396
Lavazza,444
Olymel,344
Subway,230
Nabisco,342
M&M Food Market,189
Bel Group,204
M&M Food Market,88
Sun-Pat,157
Domino,326
McDonald's,252
Starbucks,63
Wonder Bread,367
Papadopoulos,321
Lavazza,319
McDonald's,325
McDonald's,386
Burger King,403
Burger King,220
Tic Tac,70
Secret Recipe,54
Burger King,456
Andy Capp's fries,479
Bewley's,251
Sun-Pat,364
Doritos,321
Kits,139
Kinder,321
Tic Tac,196
Cheetos,259
Baskin robbins,357
Kits,339
Dr. Oetker,498
Magnum,281
Nutella,417
Dunkin' Donuts,161
Pizza Hut,236
Secret Recipe,272
Wendy's,497
Pizza Hut,254
Vitta Foods,80
Applebee's,343
Starbucks,452
Taco Bell,183
Soprole,423
Nutella,97
Nutella,226
Nutella,329
Vitta Foods,404
Bewley's,350
Baskin robbins,155
Taco Bell,410
Kinder,252
Nabisco,336
Starbucks,290
M&M Food Market,444
Vitta Foods,56
McDonald's,81
Doritos,228
Bewley's,166
Burger King,283
Heinz,85
Nutella,296
Cobblestone,494
McDonald's,359
Papadopoulos,152
Bel Group,365
Secret Recipe,375
Papadopoulos,132
M&M Food Market,252
Andy Capp's fries,464
Wonder Bread,133
Bel Group,65
Dr. Oetker,453
Starbucks,426
Nutella,303
Kinder,270
Nabisco,330
Burger King,257
Starbucks,273
Nesquik,155
Baskin robbins,140
Applebee's,210
Sun-Pat,165
Doritos,403
Taco Bell,280
Heinz,182
M&M Food Market,282
Nesquik,325
Knorr,440
Wonder Bread,248
Nesquik,351
Betty Crocker,487
Olymel,389
Cheetos,360
Subway,81
Subway,99
Cobblestone,245
Heinz,142
Olymel,449
Wonder Bread,451
Red Lobster,93
Secret Recipe,235
Betty Crocker,386
Nutella,371
McDonald's,422
Sun-Pat,63
Nesquik,352
Baskin robbins,256
Burger King,62
Olymel,445
Heinz,55
McDonald's,262
Nabisco,355
Vitta Foods,118
Soprole,457
Burger King,475
Cheetos,277
Bel Group,53
Pizza Hut,208
Red Lobster,246
Knorr,390
Olymel,256
Domino,165
Wendy's,349
Secret Recipe,199
Betty Crocker,121
Soprole,285
Nesquik,132
M&M Food Market,419
Olymel,92
Heinz,387
Applebee's,322
Wonder Bread,356
LEonidas,316
Burger King,105
Carib Brewery,88
Magnum,380
Kinder,62
Knorr,69
Kinder,486
Andy Capp's fries,181
Knorr,226
Baskin robbins,170
Nabisco,473
Wonder Bread,77
Wonder Bread,299
Dr. Oetker,97
Dunkin' Donuts,95
Betty Crocker,307
Kits,392
Doritos,238
Nabisco,131
Bel Group,357
Cobblestone,491
McDonald's,84
Lavazza,299
Heinz,146
Burger King,274
Starbucks,318
Cheetos,109
Domino,329
Olymel,214
Soprole,287
Nutella,375
Carib Brewery,465
Bel Group,167
Applebee's,171
Subway,161
Kits,350
Baskin robbins,254
KFC,161
Domino,195
Soprole,435
Betty Crocker,478
Andy Capp's fries,115
Red Lobster,127
Nesquik,465
Secret Recipe,81
